model_type,noise_type,noise_level,noise_fraction,mse,mae,rel_l2,rel_l2_std,avg_ortho_score,std_ortho_score,seed
default,partial_random,0.0,1.0,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,partial_random,0.0,0.5,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,partial_random,0.0,0.25,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,partial_random,0.1,1.0,0.0197387,0.068301834,0.16660191,0.033818357,,,123
default,partial_random,0.1,0.5,0.014190577,0.05664203,0.140845,0.030464103,,,123
default,partial_random,0.1,0.25,0.009675822,0.04465973,0.1149103,0.030436166,,,123
default,partial_random,0.2,1.0,0.020638304,0.06973792,0.17057215,0.03369225,,,123
default,partial_random,0.2,0.5,0.015859265,0.060489155,0.14910373,0.031809036,,,123
default,partial_random,0.2,0.25,0.011333462,0.048655134,0.12514596,0.03048076,,,123
default,partial_random,0.5,1.0,0.020328222,0.069958694,0.16962352,0.031780012,,,123
default,partial_random,0.5,0.5,0.017666643,0.0643292,0.1579331,0.030713743,,,123
default,partial_random,0.5,0.25,0.012892811,0.05307227,0.13432246,0.028929546,,,123
default,partial_random,1.0,1.0,0.020551259,0.0702256,0.17061126,0.031553995,,,123
default,partial_random,1.0,0.5,0.01863651,0.066304006,0.16245528,0.030262483,,,123
default,partial_random,1.0,0.25,0.013438103,0.05461206,0.1374076,0.028374478,,,123
default,harmonic_spatial,0.0,1.0,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,harmonic_spatial,0.0,0.5,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,harmonic_spatial,0.0,0.25,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,harmonic_spatial,0.1,1.0,0.02079493,0.06963419,0.16973814,0.04029058,,,123
default,harmonic_spatial,0.2,1.0,0.021371286,0.07089128,0.1732154,0.035806615,,,123
default,harmonic_spatial,0.5,1.0,0.019479187,0.06831085,0.16585536,0.031894285,,,123
default,harmonic_spatial,1.0,1.0,0.02056585,0.07013185,0.17014244,0.034398973,,,123
default,bandlimited_lowpass,0.0,1.0,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,bandlimited_lowpass,0.0,0.5,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,bandlimited_lowpass,0.0,0.25,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,bandlimited_lowpass,0.1,1.0,0.020981899,0.06992872,0.17141545,0.036291666,,,123
default,bandlimited_lowpass,0.2,1.0,0.021665312,0.07167656,0.17453049,0.03548847,,,123
default,bandlimited_lowpass,0.5,1.0,0.020964954,0.07062826,0.17203847,0.033391096,,,123
default,bandlimited_lowpass,1.0,1.0,0.020608217,0.07011989,0.17075638,0.03213368,,,123
default,bandlimited_highpass,0.0,1.0,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,bandlimited_highpass,0.0,0.5,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,bandlimited_highpass,0.0,0.25,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,bandlimited_highpass,0.1,1.0,0.019408448,0.06755467,0.16513985,0.033899453,,,123
default,bandlimited_highpass,0.2,1.0,0.020425543,0.069730975,0.17002644,0.031842306,,,123
default,bandlimited_highpass,0.5,1.0,0.02041228,0.06995176,0.16986014,0.03250891,,,123
default,bandlimited_highpass,1.0,1.0,0.019968167,0.06938095,0.16812421,0.031639736,,,123
default,spatial_block_noise,0.0,1.0,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,spatial_block_noise,0.0,0.5,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,spatial_block_noise,0.0,0.25,0.0041913074,0.026177492,0.07308286,0.027531143,,,123
default,spatial_block_noise,0.1,1.0,0.0074998387,0.036325537,0.09599461,0.041489277,,,123
default,spatial_block_noise,0.2,1.0,0.0077288444,0.036542825,0.09671049,0.04378511,,,123
default,spatial_block_noise,0.5,1.0,0.007675887,0.0361147,0.096242465,0.04400172,,,123
default,spatial_block_noise,1.0,1.0,0.007810353,0.03626033,0.09685868,0.044828575,,,123
nomad,partial_random,0.0,1.0,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,partial_random,0.0,0.5,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,partial_random,0.0,0.25,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,partial_random,0.1,1.0,0.037944287,0.11190711,0.23206274,0.04194301,,,123
nomad,partial_random,0.1,0.5,0.01596546,0.059771456,0.14937834,0.032265868,,,123
nomad,partial_random,0.1,0.25,0.010056089,0.04263742,0.11699816,0.031612825,,,123
nomad,partial_random,0.2,1.0,0.233024,0.37471923,0.5738038,0.11122429,,,123
nomad,partial_random,0.2,0.5,0.0236173,0.08133771,0.18316284,0.032604683,,,123
nomad,partial_random,0.2,0.25,0.011962983,0.04798237,0.1285168,0.031171545,,,123
nomad,partial_random,0.5,1.0,3.8827279,1.7203975,2.3471067,0.41077667,,,123
nomad,partial_random,0.5,0.5,0.051947538,0.14108783,0.27171075,0.04692225,,,123
nomad,partial_random,0.5,0.25,0.014366116,0.05616298,0.14192699,0.029473476,,,123
nomad,partial_random,1.0,1.0,27.639715,4.9866753,6.2776337,1.0175562,,,123
nomad,partial_random,1.0,0.5,0.07570491,0.18380904,0.32738122,0.0592134,,,123
nomad,partial_random,1.0,0.25,0.016403096,0.062238906,0.15192597,0.030161122,,,123
nomad,harmonic_spatial,0.0,1.0,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,harmonic_spatial,0.0,0.5,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,harmonic_spatial,0.0,0.25,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,harmonic_spatial,0.1,1.0,0.03258512,0.09947061,0.20951599,0.06158111,,,123
nomad,harmonic_spatial,0.2,1.0,0.19294631,0.325397,0.50621575,0.16192086,,,123
nomad,harmonic_spatial,0.5,1.0,5.855311,2.2174766,2.849183,0.67448354,,,123
nomad,harmonic_spatial,1.0,1.0,41.854446,6.143978,7.5325694,2.1265223,,,123
nomad,bandlimited_lowpass,0.0,1.0,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,bandlimited_lowpass,0.0,0.5,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,bandlimited_lowpass,0.0,0.25,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,bandlimited_lowpass,0.1,1.0,0.039700422,0.11393129,0.23390839,0.0582901,,,123
nomad,bandlimited_lowpass,0.2,1.0,0.22323415,0.35911804,0.5542136,0.1414705,,,123
nomad,bandlimited_lowpass,0.5,1.0,3.924387,1.722735,2.3303301,0.5646724,,,123
nomad,bandlimited_lowpass,1.0,1.0,26.585295,4.8135834,6.0788684,1.4106823,,,123
nomad,bandlimited_highpass,0.0,1.0,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,bandlimited_highpass,0.0,0.5,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,bandlimited_highpass,0.0,0.25,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,bandlimited_highpass,0.1,1.0,0.038133968,0.11134613,0.23234019,0.04348964,,,123
nomad,bandlimited_highpass,0.2,1.0,0.22065367,0.36242104,0.55763704,0.11085961,,,123
nomad,bandlimited_highpass,0.5,1.0,4.0035434,1.7459118,2.3864067,0.40518415,,,123
nomad,bandlimited_highpass,1.0,1.0,28.18602,5.061495,6.3390408,1.0337065,,,123
nomad,spatial_block_noise,0.0,1.0,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,spatial_block_noise,0.0,0.5,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,spatial_block_noise,0.0,0.25,0.0045422865,0.02538874,0.07446222,0.032548036,,,123
nomad,spatial_block_noise,0.1,1.0,0.008246766,0.038146365,0.099509604,0.046121888,,,123
nomad,spatial_block_noise,0.2,1.0,0.008699861,0.039488267,0.10156253,0.0486584,,,123
nomad,spatial_block_noise,0.5,1.0,0.008996947,0.0405845,0.102983974,0.050087817,,,123
nomad,spatial_block_noise,1.0,1.0,0.009307659,0.04127767,0.10459139,0.051257115,,,123
ortho_layer_ica,partial_random,0.0,1.0,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,partial_random,0.0,0.5,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,partial_random,0.0,0.25,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,partial_random,0.1,1.0,0.023380961,0.076159805,0.1801749,0.041949946,-0.06723611056804657,0.00015707127749919891,123
ortho_layer_ica,partial_random,0.1,0.5,0.01646351,0.061876602,0.14975859,0.0409295,-0.06864877045154572,0.00017815247701946646,123
ortho_layer_ica,partial_random,0.1,0.25,0.010497034,0.046803743,0.11840384,0.036222428,-0.07022781670093536,0.00018491809896659106,123
ortho_layer_ica,partial_random,0.2,1.0,0.023142897,0.075865574,0.18001862,0.03847745,-0.06690645962953568,0.0001568779698573053,123
ortho_layer_ica,partial_random,0.2,0.5,0.017625485,0.06516443,0.15644184,0.0367972,-0.06792555749416351,0.00025172592722810805,123
ortho_layer_ica,partial_random,0.2,0.25,0.011787293,0.05004162,0.12703718,0.03328554,-0.06954775750637054,0.0001615974906599149,123
ortho_layer_ica,partial_random,0.5,1.0,0.022797782,0.07515988,0.1791373,0.036013067,-0.06691921502351761,0.00011252510012127459,123
ortho_layer_ica,partial_random,0.5,0.5,0.019582251,0.06936904,0.1657195,0.035177086,-0.06743700057268143,0.000138869509100914,123
ortho_layer_ica,partial_random,0.5,0.25,0.014345153,0.056831546,0.14080429,0.034395155,-0.06882955878973007,0.00015984251513145864,123
ortho_layer_ica,partial_random,1.0,1.0,0.022292245,0.074433506,0.17718048,0.035489522,-0.06699998676776886,9.68457679846324e-05,123
ortho_layer_ica,partial_random,1.0,0.5,0.020478807,0.07104543,0.1698879,0.033869207,-0.06724067777395248,0.00010456619202159345,123
ortho_layer_ica,partial_random,1.0,0.25,0.014737564,0.058021728,0.14322054,0.032861326,-0.06853611022233963,0.0001751215459080413,123
ortho_layer_ica,harmonic_spatial,0.0,1.0,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,harmonic_spatial,0.0,0.5,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,harmonic_spatial,0.0,0.25,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,harmonic_spatial,0.1,1.0,0.021574909,0.07230601,0.17227915,0.043248415,-0.06813647598028183,0.0003750512551050633,123
ortho_layer_ica,harmonic_spatial,0.2,1.0,0.02250771,0.07451023,0.17719394,0.03933805,-0.06722168624401093,0.0002173556131310761,123
ortho_layer_ica,harmonic_spatial,0.5,1.0,0.019414766,0.06903173,0.16488457,0.035011254,-0.06794670224189758,0.0002018584928009659,123
ortho_layer_ica,harmonic_spatial,1.0,1.0,0.021027343,0.072062775,0.17176498,0.035784803,-0.06749379634857178,0.00015610814443789423,123
ortho_layer_ica,bandlimited_lowpass,0.0,1.0,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,bandlimited_lowpass,0.0,0.5,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,bandlimited_lowpass,0.0,0.25,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,bandlimited_lowpass,0.1,1.0,0.022382284,0.07397586,0.17613988,0.041367937,-0.06772080808877945,0.00016277722897939384,123
ortho_layer_ica,bandlimited_lowpass,0.2,1.0,0.02358553,0.076355115,0.18119892,0.041319255,-0.06701698154211044,0.00018885575991589576,123
ortho_layer_ica,bandlimited_lowpass,0.5,1.0,0.022911424,0.07523652,0.17928253,0.037462454,-0.06696997582912445,0.0002052266790997237,123
ortho_layer_ica,bandlimited_lowpass,1.0,1.0,0.02213712,0.07396436,0.17642067,0.036112573,-0.06698058545589447,0.0001408914540661499,123
ortho_layer_ica,bandlimited_highpass,0.0,1.0,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,bandlimited_highpass,0.0,0.5,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,bandlimited_highpass,0.0,0.25,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,bandlimited_highpass,0.1,1.0,0.023304349,0.07606653,0.17982195,0.04219027,-0.06714354455471039,8.889135642675683e-05,123
ortho_layer_ica,bandlimited_highpass,0.2,1.0,0.023483958,0.0765033,0.18179777,0.03667243,-0.0668136328458786,0.00011998785339528695,123
ortho_layer_ica,bandlimited_highpass,0.5,1.0,0.022453088,0.074697666,0.17770493,0.036217395,-0.066922627389431,0.00016531950677745044,123
ortho_layer_ica,bandlimited_highpass,1.0,1.0,0.02187828,0.0737372,0.17556061,0.035038516,-0.06698310375213623,9.56727089942433e-05,123
ortho_layer_ica,spatial_block_noise,0.0,1.0,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,spatial_block_noise,0.0,0.5,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,spatial_block_noise,0.0,0.25,0.0040434403,0.02564835,0.07138409,0.028028566,-0.07190454006195068,0.00034571404103189707,123
ortho_layer_ica,spatial_block_noise,0.1,1.0,0.0071475995,0.03532195,0.09308685,0.041883204,-0.07187940180301666,0.0003291333850938827,123
