model_type,noise_type,noise_level,noise_fraction,mse,mae,rel_l2,rel_l2_std,avg_ortho_score,std_ortho_score,seed
default,partial_random,0.0,1.0,0.0041367444,0.026730092,0.07193389,0.02896671,,,1
default,partial_random,0.0,0.5,0.0041367444,0.026730092,0.07193389,0.02896671,,,1
default,partial_random,0.0,0.25,0.0041367444,0.026730092,0.07193389,0.02896671,,,1
default,partial_random,0.1,1.0,0.017174961,0.06347936,0.15468723,0.03461253,,,1
default,partial_random,0.1,0.5,0.013340449,0.054619752,0.13522416,0.035181932,,,1
default,partial_random,0.1,0.25,0.009079049,0.04230654,0.11059743,0.032006808,,,1
default,partial_random,0.2,1.0,0.018279538,0.06431322,0.1602267,0.03301022,,,1
default,partial_random,0.2,0.5,0.015037801,0.0583344,0.14503415,0.031430483,,,1
default,partial_random,0.2,0.25,0.010026582,0.045795426,0.11712447,0.030738818,,,1
default,partial_random,0.5,1.0,0.019106058,0.06638894,0.16413777,0.032124348,,,1
default,partial_random,0.5,0.5,0.016397433,0.060977135,0.15156308,0.032267615,,,1
default,partial_random,0.5,0.25,0.011024191,0.048547756,0.12371703,0.02873976,,,1
default,partial_random,1.0,1.0,0.018809266,0.066463806,0.16291487,0.03165704,,,1
default,partial_random,1.0,0.5,0.017236209,0.06235554,0.15535599,0.03313697,,,1
default,partial_random,1.0,0.25,0.012443362,0.051745057,0.13115554,0.031698823,,,1
default,harmonic_spatial,0.0,1.0,0.0041367444,0.026730092,0.07193389,0.02896671,,,1
default,harmonic_spatial,0.0,0.5,0.0041367444,0.026730092,0.07193389,0.02896671,,,1
default,harmonic_spatial,0.0,0.25,0.0041367444,0.026730092,0.07193389,0.02896671,,,1
default,harmonic_spatial,0.1,1.0,0.01893457,0.06755187,0.16216333,0.037267648,,,1
default,harmonic_spatial,0.2,1.0,0.018868,0.0658541,0.16225113,0.036052793,,,1
default,harmonic_spatial,0.5,1.0,0.018596638,0.06790444,0.16196838,0.031599294,,,1
default,harmonic_spatial,1.0,1.0,0.01881064,0.06722475,0.16267534,0.032889295,,,1
default,bandlimited_lowpass,0.0,1.0,0.0041367444,0.026730092,0.07193389,0.02896671,,,1
default,bandlimited_lowpass,0.0,0.5,0.0041367444,0.026730092,0.07193389,0.02896671,,,1
default,bandlimited_lowpass,0.0,0.25,0.0041367444,0.026730092,0.07193389,0.02896671,,,1
default,bandlimited_lowpass,0.1,1.0,0.018845567,0.06665128,0.16160874,0.038151402,,,1
default,bandlimited_lowpass,0.2,1.0,0.018462347,0.06562661,0.16072476,0.03445681,,,1
default,bandlimited_lowpass,0.5,1.0,0.018911347,0.06657223,0.16314206,0.032691345,,,1
default,bandlimited_lowpass,1.0,1.0,0.019121602,0.06671201,0.16417924,0.032361425,,,1
