model_type,noise_type,noise_level,noise_fraction,mse,mae,rel_l2,rel_l2_std,avg_ortho_score,std_ortho_score,seed
default,partial_random,0.0,1.0,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,partial_random,0.0,0.5,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,partial_random,0.0,0.25,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,partial_random,0.1,1.0,0.019516781,0.07242749,0.16559558,0.033999752,,,0
default,partial_random,0.1,0.5,0.013501011,0.057549298,0.13709596,0.031021874,,,0
default,partial_random,0.1,0.25,0.008368703,0.042549938,0.10602683,0.031209782,,,0
default,partial_random,0.2,1.0,0.021973506,0.078530915,0.17676593,0.03067937,,,0
default,partial_random,0.2,0.5,0.016099684,0.064574495,0.1501867,0.03201554,,,0
default,partial_random,0.2,0.25,0.010384929,0.04859369,0.11949765,0.030133,,,0
default,partial_random,0.5,1.0,0.022692958,0.08183311,0.17960519,0.0313481,,,0
default,partial_random,0.5,0.5,0.0184996,0.06947585,0.16142185,0.032499325,,,0
default,partial_random,0.5,0.25,0.01169719,0.053185627,0.12743169,0.029672619,,,0
default,partial_random,1.0,1.0,0.022740489,0.082298435,0.1798574,0.031109095,,,0
default,partial_random,1.0,0.5,0.01918448,0.07196312,0.1644238,0.032693747,,,0
default,partial_random,1.0,0.25,0.01281503,0.05578849,0.13334991,0.031032957,,,0
default,harmonic_spatial,0.0,1.0,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,harmonic_spatial,0.0,0.5,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,harmonic_spatial,0.0,0.25,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,harmonic_spatial,0.1,1.0,0.020314578,0.07229847,0.1679172,0.038912978,,,0
default,harmonic_spatial,0.2,1.0,0.022553116,0.07869649,0.17816982,0.03573947,,,0
default,harmonic_spatial,0.5,1.0,0.021752307,0.08057015,0.17607151,0.029276032,,,0
default,harmonic_spatial,1.0,1.0,0.02225955,0.08124217,0.17791042,0.030863544,,,0
default,bandlimited_lowpass,0.0,1.0,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,bandlimited_lowpass,0.0,0.5,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,bandlimited_lowpass,0.0,0.25,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,bandlimited_lowpass,0.1,1.0,0.020981187,0.07464155,0.17020693,0.041461192,,,0
default,bandlimited_lowpass,0.2,1.0,0.022994349,0.0805784,0.1797726,0.03654976,,,0
default,bandlimited_lowpass,0.5,1.0,0.022794472,0.08193499,0.17981488,0.032624405,,,0
default,bandlimited_lowpass,1.0,1.0,0.023316978,0.08291098,0.18190736,0.032586385,,,0
default,bandlimited_highpass,0.0,1.0,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,bandlimited_highpass,0.0,0.5,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,bandlimited_highpass,0.0,0.25,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,bandlimited_highpass,0.1,1.0,0.020638546,0.07403174,0.1701189,0.03550127,,,0
default,bandlimited_highpass,0.2,1.0,0.02184595,0.07855282,0.17560634,0.034014802,,,0
default,bandlimited_highpass,0.5,1.0,0.022558423,0.081632756,0.17925023,0.030418798,,,0
default,bandlimited_highpass,1.0,1.0,0.022996116,0.082733065,0.18093222,0.030978613,,,0
default,spatial_block_noise,0.0,1.0,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,spatial_block_noise,0.0,0.5,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,spatial_block_noise,0.0,0.25,0.0043139756,0.02742378,0.07366375,0.02897169,,,0
default,spatial_block_noise,0.1,1.0,0.007853425,0.038372863,0.09830584,0.042253025,,,0
default,spatial_block_noise,0.2,1.0,0.0082460595,0.039502006,0.10110044,0.042464487,,,0
default,spatial_block_noise,0.5,1.0,0.008445252,0.039274342,0.101121485,0.045677066,,,0
default,spatial_block_noise,1.0,1.0,0.00855112,0.039335363,0.1012359,0.047044728,,,0
nomad,partial_random,0.0,1.0,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
nomad,partial_random,0.0,0.5,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
nomad,partial_random,0.0,0.25,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
nomad,partial_random,0.1,1.0,0.049769003,0.15804826,0.2635616,0.057777792,,,0
nomad,partial_random,0.1,0.5,0.019277884,0.072788194,0.16324744,0.03891697,,,0
nomad,partial_random,0.1,0.25,0.011126332,0.047269657,0.12162225,0.03792263,,,0
nomad,partial_random,0.2,1.0,0.30294243,0.49721175,0.6415782,0.17807351,,,0
nomad,partial_random,0.2,0.5,0.030263012,0.102755405,0.20680675,0.03830471,,,0
nomad,partial_random,0.2,0.25,0.013595599,0.056184676,0.13658339,0.03450365,,,0
nomad,partial_random,0.5,1.0,2.9050033,1.630483,1.9940356,0.5219748,,,0
nomad,partial_random,0.5,0.5,0.056598604,0.17674714,0.2829112,0.052418858,,,0
nomad,partial_random,0.5,0.25,0.01762719,0.06922411,0.15637732,0.035507016,,,0
nomad,partial_random,1.0,1.0,13.925013,3.6249442,4.394948,1.0341151,,,0
nomad,partial_random,1.0,0.5,0.098970175,0.25944385,0.3679769,0.09581355,,,0
nomad,partial_random,1.0,0.25,0.02027731,0.077055074,0.16833209,0.035289217,,,0
nomad,harmonic_spatial,0.0,1.0,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
nomad,harmonic_spatial,0.0,0.5,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
nomad,harmonic_spatial,0.0,0.25,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
nomad,harmonic_spatial,0.1,1.0,0.1551042,0.26759467,0.37999958,0.28677577,,,0
nomad,harmonic_spatial,0.2,1.0,0.9426143,0.7335124,0.92007124,0.7282436,,,0
nomad,harmonic_spatial,0.5,1.0,2.7646904,1.5006914,1.8441674,0.80165493,,,0
nomad,harmonic_spatial,1.0,1.0,21.656017,3.9741912,4.8228974,2.9297075,,,0
nomad,bandlimited_lowpass,0.0,1.0,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
nomad,bandlimited_lowpass,0.0,0.5,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
nomad,bandlimited_lowpass,0.0,0.25,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
nomad,bandlimited_lowpass,0.1,1.0,0.12334368,0.25776917,0.36989853,0.20821527,,,0
nomad,bandlimited_lowpass,0.2,1.0,0.38372132,0.537113,0.68838835,0.2966089,,,0
nomad,bandlimited_lowpass,0.5,1.0,3.4382758,1.7478846,2.1361477,0.68675685,,,0
nomad,bandlimited_lowpass,1.0,1.0,15.71021,3.7980185,4.6051564,1.3438531,,,0
nomad,bandlimited_highpass,0.0,1.0,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
nomad,bandlimited_highpass,0.0,0.5,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
nomad,bandlimited_highpass,0.0,0.25,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
nomad,bandlimited_highpass,0.1,1.0,0.04995833,0.15674777,0.2635328,0.060550265,,,0
nomad,bandlimited_highpass,0.2,1.0,0.32861298,0.5176191,0.6661168,0.19438453,,,0
nomad,bandlimited_highpass,0.5,1.0,3.1398356,1.6951852,2.0712693,0.55218476,,,0
nomad,bandlimited_highpass,1.0,1.0,15.266264,3.7965639,4.601565,1.0833149,,,0
nomad,spatial_block_noise,0.0,1.0,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
nomad,spatial_block_noise,0.0,0.5,0.0045744386,0.025668168,0.07476449,0.032578576,,,0
