model_type,noise_type,noise_level,noise_fraction,mse,mae,rel_l2,rel_l2_std,avg_ortho_score,std_ortho_score,seed
fourier,partial_random,0.0,1.0,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,partial_random,0.0,0.5,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,partial_random,0.0,0.25,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,partial_random,0.1,1.0,2.4549963e-06,0.0011863799,0.002788738,0.0010193503,,,777
fourier,partial_random,0.1,0.5,1.3958224e-06,0.0008672601,0.0020480067,0.00087314215,,,777
fourier,partial_random,0.1,0.25,9.452786e-07,0.00066504924,0.0015937403,0.0008817485,,,777
fourier,partial_random,0.2,1.0,8.548474e-06,0.0022986757,0.0053578843,0.0015133427,,,777
fourier,partial_random,0.2,0.5,4.310835e-06,0.0016301393,0.0038040143,0.0010377464,,,777
fourier,partial_random,0.2,0.25,2.49952e-06,0.0011947275,0.002821632,0.0010005267,,,777
fourier,partial_random,0.5,1.0,5.1291565e-05,0.0056969477,0.013215543,0.0034554666,,,777
fourier,partial_random,0.5,0.5,2.4810419e-05,0.003995015,0.009258177,0.0020725545,,,777
fourier,partial_random,0.5,0.25,1.3433084e-05,0.0028735092,0.0067364983,0.0018122718,,,777
fourier,partial_random,1.0,1.0,0.0002040396,0.0113795865,0.026374364,0.006860356,,,777
fourier,partial_random,1.0,0.5,9.8151744e-05,0.007968193,0.01842514,0.0041137114,,,777
fourier,partial_random,1.0,0.25,5.2548767e-05,0.0057100076,0.013361586,0.0034875106,,,777
fourier,harmonic_spatial,0.0,1.0,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,harmonic_spatial,0.0,0.5,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,harmonic_spatial,0.0,0.25,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,harmonic_spatial,0.1,1.0,0.0001123294,0.009013195,0.019129235,0.006524766,,,777
fourier,harmonic_spatial,0.2,1.0,0.00044845487,0.0180162,0.038216665,0.013058373,,,777
fourier,harmonic_spatial,0.5,1.0,0.0028016788,0.04502809,0.09551384,0.032665465,,,777
fourier,harmonic_spatial,1.0,1.0,0.011191446,0.089996785,0.19090405,0.065295555,,,777
fourier,bandlimited_lowpass,0.0,1.0,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,bandlimited_lowpass,0.0,0.5,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,bandlimited_lowpass,0.0,0.25,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,bandlimited_lowpass,0.1,1.0,2.1733213e-05,0.0036789533,0.008592243,0.002289264,,,777
fourier,bandlimited_lowpass,0.2,1.0,8.5622036e-05,0.007322643,0.01706917,0.0045242235,,,777
fourier,bandlimited_lowpass,0.5,1.0,0.0005328507,0.01827464,0.04257402,0.011339627,,,777
fourier,bandlimited_lowpass,1.0,1.0,0.0021295545,0.036530472,0.08510317,0.022712851,,,777
fourier,bandlimited_highpass,0.0,1.0,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,bandlimited_highpass,0.0,0.5,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,bandlimited_highpass,0.0,0.25,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,bandlimited_highpass,0.1,1.0,4.530799e-07,0.00033531873,0.0008571404,0.00089047296,,,777
fourier,bandlimited_highpass,0.2,1.0,5.042243e-07,0.00037560138,0.0009644226,0.00088453316,,,777
fourier,bandlimited_highpass,0.5,1.0,8.6922984e-07,0.0005637282,0.0015084968,0.00086952146,,,777
fourier,bandlimited_highpass,1.0,1.0,2.2513268e-06,0.0009716646,0.0026922482,0.0008797613,,,777
fourier,spatial_block_noise,0.0,1.0,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,spatial_block_noise,0.0,0.5,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,spatial_block_noise,0.0,0.25,4.360188e-07,0.00031876788,0.0008169633,0.00089355407,,,777
fourier,spatial_block_noise,0.1,1.0,9.677875e-07,0.0006206174,0.0015938644,0.0009340168,,,777
fourier,spatial_block_noise,0.2,1.0,2.568387e-06,0.0010648189,0.0027782994,0.0012411043,,,777
fourier,spatial_block_noise,0.5,1.0,1.3780488e-05,0.0024948642,0.00655885,0.0026774164,,,777
fourier,spatial_block_noise,1.0,1.0,5.3815544e-05,0.0049259244,0.012963044,0.005315989,,,777
wavelet,partial_random,0.0,1.0,3.0193564e-06,0.0012886911,0.0032374305,0.0006242235,,,777
wavelet,partial_random,0.0,0.5,3.0193564e-06,0.0012886911,0.0032374305,0.0006242235,,,777
wavelet,partial_random,0.0,0.25,3.0193564e-06,0.0012886911,0.0032374305,0.0006242235,,,777
wavelet,partial_random,0.1,1.0,5.539672e-06,0.0018164068,0.0043953685,0.0008606651,,,777
wavelet,partial_random,0.1,0.5,4.2694337e-06,0.0015742035,0.0038569183,0.00073283684,,,777
wavelet,partial_random,0.1,0.25,3.645794e-06,0.0014391531,0.0035640895,0.0006662033,,,777
wavelet,partial_random,0.2,1.0,1.2870599e-05,0.0028114668,0.0066674314,0.0015224663,,,777
wavelet,partial_random,0.2,0.5,7.84863e-06,0.0021845542,0.0052323304,0.0010211399,,,777
wavelet,partial_random,0.2,0.25,5.534441e-06,0.0018097853,0.004398654,0.00081594137,,,777
wavelet,partial_random,0.5,1.0,6.382151e-05,0.006302088,0.014772964,0.003761112,,,777
wavelet,partial_random,0.5,0.5,3.2583597e-05,0.0045248102,0.010638037,0.0022675288,,,777
wavelet,partial_random,0.5,0.25,1.878457e-05,0.0033784239,0.0080494825,0.0018473112,,,777
wavelet,partial_random,1.0,1.0,0.0002456759,0.012379002,0.02895137,0.007520833,,,777
wavelet,partial_random,1.0,0.5,0.00012047733,0.008730863,0.020434476,0.004489549,,,777
wavelet,partial_random,1.0,0.25,6.603078e-05,0.006323152,0.015006929,0.0038572415,,,777
wavelet,harmonic_spatial,0.0,1.0,3.0193564e-06,0.0012886911,0.0032374305,0.0006242235,,,777
wavelet,harmonic_spatial,0.0,0.5,3.0193564e-06,0.0012886911,0.0032374305,0.0006242235,,,777
