model_type,noise_type,noise_level,noise_fraction,mse,mae,rel_l2,rel_l2_std,avg_ortho_score,std_ortho_score,seed
fourier,partial_random,0.0,1.0,5.231687e-07,0.00033326077,0.00086784957,0.0010003813,,,123
fourier,partial_random,0.0,0.5,5.231687e-07,0.00033326077,0.00086784957,0.0010003813,,,123
fourier,partial_random,0.0,0.25,5.231687e-07,0.00033326077,0.00086784957,0.0010003813,,,123
fourier,partial_random,0.1,1.0,2.5547893e-06,0.0011928983,0.0028083602,0.0011265045,,,123
fourier,partial_random,0.1,0.5,1.5700112e-06,0.00088870525,0.0021137279,0.001044765,,,123
fourier,partial_random,0.1,0.25,1.0551372e-06,0.0006838145,0.0016451686,0.0009914212,,,123
fourier,partial_random,0.2,1.0,8.695733e-06,0.002311303,0.005384073,0.0016028539,,,123
fourier,partial_random,0.2,0.5,4.73827e-06,0.0016749859,0.0039254515,0.0012987576,,,123
fourier,partial_random,0.2,0.25,2.6746898e-06,0.0012324852,0.002895996,0.0010958337,,,123
fourier,partial_random,0.5,1.0,5.177187e-05,0.0057262564,0.013274504,0.003541391,,,123
fourier,partial_random,0.5,0.5,2.69735e-05,0.0041084574,0.0095617585,0.0025834348,,,123
fourier,partial_random,0.5,0.25,1.4052889e-05,0.0029738,0.006898269,0.0018582484,,,123
fourier,partial_random,1.0,1.0,0.00020536136,0.011428926,0.026472883,0.006970508,,,123
fourier,partial_random,1.0,0.5,0.00010631319,0.008187851,0.01902376,0.005031364,,,123
fourier,partial_random,1.0,0.25,5.470564e-05,0.0059129717,0.013667938,0.0035161725,,,123
fourier,harmonic_spatial,0.0,1.0,5.231687e-07,0.00033326077,0.00086784957,0.0010003813,,,123
fourier,harmonic_spatial,0.0,0.5,5.231687e-07,0.00033326077,0.00086784957,0.0010003813,,,123
fourier,harmonic_spatial,0.0,0.25,5.231687e-07,0.00033326077,0.00086784957,0.0010003813,,,123
fourier,harmonic_spatial,0.1,1.0,0.00010786566,0.008781062,0.018641384,0.00669301,,,123
