model_type,noise_type,noise_level,noise_fraction,mse,mae,rel_l2,rel_l2_std,avg_ortho_score,std_ortho_score,seed
fourier,partial_random,0.0,1.0,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,partial_random,0.0,0.5,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,partial_random,0.0,0.25,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,partial_random,0.1,1.0,2.7093952e-06,0.0012372321,0.0029229475,0.0010817492,,,1
fourier,partial_random,0.1,0.5,1.4762003e-06,0.00086472346,0.00206372,0.0009844137,,,1
fourier,partial_random,0.1,0.25,1.0134727e-06,0.00067015976,0.0016207237,0.00095774577,,,1
fourier,partial_random,0.2,1.0,9.236592e-06,0.0023858761,0.0055817007,0.0015302531,,,1
fourier,partial_random,0.2,0.5,4.3789746e-06,0.0016181329,0.0037947465,0.0011808933,,,1
fourier,partial_random,0.2,0.25,2.5350682e-06,0.0011926879,0.0028280027,0.0010420487,,,1
fourier,partial_random,0.5,1.0,5.491516e-05,0.005893305,0.013713849,0.0034496957,,,1
fourier,partial_random,0.5,0.5,2.4805187e-05,0.0039587044,0.009200087,0.0023407384,,,1
fourier,partial_random,0.5,0.25,1.3285136e-05,0.0028650376,0.006707743,0.0017873038,,,1
fourier,partial_random,1.0,1.0,0.00021796938,0.011761031,0.02732833,0.0068922658,,,1
fourier,partial_random,1.0,0.5,9.799706e-05,0.007893991,0.018303383,0.0046261805,,,1
fourier,partial_random,1.0,0.25,5.1871943e-05,0.005698789,0.013293466,0.0034360797,,,1
fourier,harmonic_spatial,0.0,1.0,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,harmonic_spatial,0.0,0.5,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,harmonic_spatial,0.0,0.25,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,harmonic_spatial,0.1,1.0,0.000108999324,0.008847728,0.018814128,0.00665775,,,1
fourier,harmonic_spatial,0.2,1.0,0.00043400328,0.017677164,0.037554935,0.013271799,,,1
fourier,harmonic_spatial,0.5,1.0,0.0027083221,0.04417257,0.09382353,0.033149198,,,1
fourier,harmonic_spatial,1.0,1.0,0.010819722,0.08829829,0.1875388,0.06625444,,,1
fourier,bandlimited_lowpass,0.0,1.0,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,bandlimited_lowpass,0.0,0.5,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,bandlimited_lowpass,0.0,0.25,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,bandlimited_lowpass,0.1,1.0,2.1009799e-05,0.0036705611,0.008516163,0.00195279,,,1
fourier,bandlimited_lowpass,0.2,1.0,8.26913e-05,0.0073149526,0.016924689,0.0038030734,,,1
fourier,bandlimited_lowpass,0.5,1.0,0.00051461696,0.018267604,0.042225003,0.009518472,,,1
fourier,bandlimited_lowpass,1.0,1.0,0.0020544378,0.036504198,0.08436675,0.019050045,,,1
fourier,bandlimited_highpass,0.0,1.0,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,bandlimited_highpass,0.0,0.5,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,bandlimited_highpass,0.0,0.25,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,bandlimited_highpass,0.1,1.0,5.3898754e-07,0.00035079086,0.0009120798,0.0009896735,,,1
fourier,bandlimited_highpass,0.2,1.0,5.9475843e-07,0.00039144547,0.0010252817,0.0009811075,,,1
fourier,bandlimited_highpass,0.5,1.0,1.0162636e-06,0.00058920326,0.0016210283,0.000956334,,,1
fourier,bandlimited_highpass,1.0,1.0,2.8032619e-06,0.001063749,0.0030220372,0.00094312435,,,1
fourier,spatial_block_noise,0.0,1.0,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,spatial_block_noise,0.0,0.5,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,spatial_block_noise,0.0,0.25,5.2084243e-07,0.00033436678,0.0008705646,0.0009936963,,,1
fourier,spatial_block_noise,0.1,1.0,1.0092874e-06,0.0006014099,0.001575926,0.0010221541,,,1
fourier,spatial_block_noise,0.2,1.0,2.5570625e-06,0.0010152326,0.0027241416,0.0013201792,,,1
fourier,spatial_block_noise,0.5,1.0,1.3553143e-05,0.0023814177,0.006438991,0.0027776212,,,1
fourier,spatial_block_noise,1.0,1.0,5.297617e-05,0.004717639,0.012757213,0.005467782,,,1
wavelet,partial_random,0.0,1.0,3.1107995e-06,0.0012894936,0.0032695795,0.0006933667,,,1
wavelet,partial_random,0.0,0.5,3.1107995e-06,0.0012894936,0.0032695795,0.0006933667,,,1
wavelet,partial_random,0.0,0.25,3.1107995e-06,0.0012894936,0.0032695795,0.0006933667,,,1
wavelet,partial_random,0.1,1.0,5.613814e-06,0.0018204803,0.0044326074,0.00081243884,,,1
wavelet,partial_random,0.1,0.5,4.287715e-06,0.0015613302,0.003864652,0.00072454155,,,1
wavelet,partial_random,0.1,0.25,3.6662275e-06,0.0014348279,0.003575594,0.0006515348,,,1
wavelet,partial_random,0.2,1.0,1.3248628e-05,0.0028625778,0.0067992187,0.0013909794,,,1
wavelet,partial_random,0.2,0.5,7.832975e-06,0.002164782,0.005226003,0.0010255903,,,1
wavelet,partial_random,0.2,0.25,5.436144e-06,0.0017922003,0.0043659834,0.00077643595,,,1
wavelet,partial_random,0.5,1.0,6.695571e-05,0.006493986,0.015224118,0.0035083853,,,1
wavelet,partial_random,0.5,0.5,3.2682143e-05,0.0044891513,0.010622208,0.0024337396,,,1
wavelet,partial_random,0.5,0.25,1.804697e-05,0.0033241503,0.007909172,0.0017395485,,,1
wavelet,partial_random,1.0,1.0,0.00025962142,0.012783987,0.029950494,0.0070579504,,,1
wavelet,partial_random,1.0,0.5,0.000121550314,0.008676413,0.020451408,0.0048670014,,,1
wavelet,partial_random,1.0,0.25,6.344502e-05,0.0062360354,0.014775111,0.003529913,,,1
wavelet,harmonic_spatial,0.0,1.0,3.1107995e-06,0.0012894936,0.0032695795,0.0006933667,,,1
